state,frequency
Mississippi,216
Northern Mariana Islands,9
Oklahoma,13
Wyoming,5
Minnesota,371
Alaska,6
American Samoa,79
Arkansas,58
New Mexico,53
Indiana,636
Maryland,58
Louisiana,61
Texas,78
Tennessee,25
Iowa,14
Wisconsin,54
Arizona,24
Michigan,682
Kansas,64
Utah,23
Virginia,64
Oregon,243
Connecticut,363
District of Columbia,65
New Hampshire,21
Idaho,54
West Virginia,2
South Carolina,106
California,1327
Massachusetts,737
Vermont,2
Georgia,258
North Dakota,3
Pennsylvania,170
Puerto Rico,169
Florida,65
Hawaii,76
Kentucky,11
Rhode Island,18
Nebraska,58
Missouri,32
Ohio,545
Alabama,29
Illinois,222
Virgin Islands,24
South Dakota,14
Colorado,254
New Jersey,58
National,1087
Washington,129
North Carolina,75
Maine,60
New York,474
Montana,3
Nevada,22
Delaware,265
Guam,13
