word,frequency
University,2236
Engineering,1649
California,1198
New,1073
Science,974
students,946
Research,846
College,841
team,806
Intern,790
Management,754
Student,737
EXPERIENCE,735
GPA,735
Yale,703
Present,678
data,637
Assistant,632
School,632
Summer,620
new,610
research,595
using,592
Michigan,583
Bachelor,577
analysis,572
EDUCATION,560
project,552
Computer,551
The,547
State,545
Ohio,535
Business,517
management,491
Program,489
Fall,477
York,470
San,465
Education,463
Project,463
development,462
Developed,454
Office,454
Experience,449
Design,445
student,444
events,443
Spring,439
including,438
design,435
China,433
National,431
Massachusetts,428
Claremont,427
Society,425
Member,410
business,408
Scripps,408
system,406
projects,403
Microsoft,394
company,389
program,383
Technology,381
Minnesota,367
Department,366
International,362
Haven,362
process,362
skills,362
American,359
Expected,359
Connecticut,359
Finance,357
Diego,356
Excel,344
SKILLS,343
Team,330
Honors,328
Indiana,321
Scholarship,317
Master,316
Institute,315
Analysis,312
Managed,306
time,303
Designed,302
Systems,301
Manager,301
members,300
C,294
Development,292
Center,292
product,291
community,291
Skills,290
Graduate,287
Led,286
engineering,283
High,283
service,281
Award,279
staff,275
Leadership,274
experience,273
Assisted,272
various,271
President,270
East,270
Arts,269
Club,266
financial,265
training,264
Columbus,262
Supply,260
Created,259
Chemical,258
meetings,256
R,254
software,254
based,254
clients,253
Mathematics,251
model,251
Worked,250
work,249
customer,248
Python,246
market,245
Software,244
Programming,244
English,241
Chain,241
India,240
social,239
information,238
support,234
year,233
weekly,233
Lansing,233
Spanish,232
Volunteer,230
activities,229
systems,228
production,228
client,227
Dean,226
reports,223
sales,221
Cambridge,220
Association,220
present,218
Georgia,215
Lab,215
Conducted,214
school,213
Illinois,212
n,212
Delaware,211
Teaching,210
Oregon,209
within,207
Java,207
leadership,207
Financial,206
Conference,206
Undergraduate,206
operations,205
strategy,205
high,205
performance,203
planning,203
Engineer,202
group,202
Work,200
Logistics,197
South,196
C++,195
List,194
campus,194
local,194
Performed,194
real,193
quality,192
Senior,191
programs,190
Languages,188
academic,188
organization,188
Analyst,187
Service,185
Physics,184
years,184
USA,184
Coursework,182
use,182
products,181
Group,181
order,180
Economics,179
